FID,MASK,X,Y,landcover,geology,flowaccum,winter_rad
0,0,729794.8721,3849716.407,4,3,1,1
1,0,736446.8961,3849496.046,0,4,2,2
2,0,726454.4382,3850567.27,11,5,2,3
3,0,749535.2324,3848315.001,1,1,1,3
4,0,748259.858,3849925.249,1,1,1,3
5,0,732367.1307,3844994.023,4,5,1,3
6,0,752313.8761,3845667.643,1,2,2,2
7,0,731134.0772,3842803.705,4,5,2,2
8,0,743713.4272,3847462.885,1,1,2,2
9,0,751661.8767,3854519.124,1,2,1,2
10,0,739300.7865,3840991.217,10,1,1,3
11,0,740837.5473,3855743.177,3,1,2,3
12,0,751805.1684,3856356.254,1,1,1,3
13,0,732245.6933,3851712.579,3,1,1,2
14,0,749974.2699,3848816.316,1,1,1,3
15,0,756409.8066,3844422.227,1,1,1,2
16,0,735619.1019,3852051.777,6,4,1,3
17,0,733780.1104,3854202.103,1,1,1,2
18,0,738735.0615,3849741.259,10,1,2,3
19,0,753933.4101,3852544.047,1,3,1,2
20,0,748073.3555,3843153.34,3,3,1,3
21,0,754521.5429,3847764.598,13,4,2,2
22,0,748973.4291,3840373.037,3,3,1,1
23,0,744729.2896,3840377.989,4,2,1,2
24,0,731393.9674,3842590.462,4,5,1,2
25,0,741214.8814,3854784.692,1,2,1,2
26,0,747291.1983,3850407.785,14,1,1,3
27,0,727336.6416,3851601.624,4,5,1,3
28,0,725845.5246,3843159.052,1,3,1,2
29,0,730258.1436,3849672.233,4,2,1,2
30,0,743431.3786,3841651.032,4,2,2,2
31,0,739876.5673,3852197.723,1,1,1,3
32,0,746423.2363,3849905.991,0,1,2,3
33,0,749490.4861,3853556.433,1,2,1,3
34,0,732605.7679,3856276.198,1,2,1,3
35,0,734813.6898,3853570.304,10,4,1,3
36,0,729041.4522,3846924.687,3,5,1,3
37,0,727702.0437,3840958.166,4,5,1,3
38,0,738206.3086,3854628.433,3,2,1,2
39,0,739425.3726,3847638.835,1,1,1,2
40,0,731542.473,3855975.262,1,3,1,3
41,0,751625.9859,3843229.304,4,3,1,2
42,0,738689.0372,3854737.908,3,2,1,2
43,0,746006.9911,3851247.465,14,1,2,3
44,0,740892.1806,3842063.699,10,2,2,2
45,0,743793.5446,3846479.822,1,2,2,3
46,0,725729.0944,3848830.475,11,5,1,3
47,0,733348.2643,3850004.428,10,4,2,2
48,0,735195.9621,3850768.837,12,4,2,2
49,0,734969.725,3851291.122,1,4,2,2
50,0,739210.2545,3846643.736,4,2,1,3
51,0,726818.7215,3851436.473,1,4,1,2
52,0,753436.4606,3852605.11,1,3,1,3
53,0,742775.8364,3849349.951,10,4,1,3
54,0,755499.7393,3853154.114,1,3,1,3
55,0,742625.7634,3855063.881,1,1,1,3
56,0,725834.6862,3854113.939,4,3,1,3
57,0,750695.7748,3839435.724,3,3,2,2
58,0,737881.4016,3850676.516,1,1,1,2
59,0,739794.5494,3844338.475,4,2,1,1
60,0,744355.2712,3855914.092,3,1,1,1
61,0,725691.441,3847780.442,11,5,1,3
62,0,756485.352,3855298.209,1,3,1,3
63,0,734306.2547,3852915.859,12,4,1,2
64,0,754074.6938,3850105.449,1,3,1,3
65,0,736201.9106,3847858.8,1,2,2,2
66,0,745291.7127,3855252.484,4,1,1,2
67,0,735634.3037,3842905.806,1,4,1,3
68,0,746468.2625,3839535.778,4,2,1,2
69,0,738104.0397,3841964.518,4,1,1,3
70,0,730165.8237,3841116.925,1,5,2,3
71,0,752777.0474,3849851.312,1,1,1,3
72,0,744207.7688,3843949.706,1,3,1,3
73,0,739042.5974,3842216.858,4,2,1,2
74,0,755742.1927,3840384.287,4,3,1,3
75,0,746237.6515,3852233.784,1,1,1,3
76,0,731906.3503,3840548.671,12,5,1,2
77,0,754271.067,3855939.74,1,3,2,2
